"tract_geoid","state_fips","state_name","pfoa_average","pfoa_observation_count","station_count","total_population","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"06037311100","06","California","4","2","2","3923","50.8284476166199","49.1715523833801","0.994137139943921","0","17.2317104256946","0","0","2.03925567167984","30.5633443793016","99806"
"06037402403","06","California","1","2","2","4826","86.5312888520514","13.4687111479486","2.30004144218815","0.248653128885205","5.07666804807294","0","0.352258599254041","0.994612515540821","77.5590551181102","87536"
"06037404402","06","California","5502","4","4","4673","93.772736999786","6.227263000214","0.641985876310721","0","9.69398673229189","0","4.85769313075112","1.02717740209715","77.5518938583351","96616"
"06037408006","06","California","1","2","2","3970","91.8387909319899","8.16120906801008","0.251889168765743","0","40.831234256927","0","0.403022670025189","0.52896725440806","49.823677581864","84130"
"06037408402","06","California","25","2","2","6152","80.3478543563069","19.6521456436931","0.666449934980494","0","20.8875162548765","0","0.0812743823146944","0.487646293888166","58.2249674902471","109828"
"06037551102","06","California","2","2","2","5388","93.8010393466964","6.19896065330364","5.38233110616184","0","1.74461766889384","0","0.204157386785449","5.15961395694135","81.3103192279139","61713"
"06037650401","06","California","2","2","2","4360","63.4174311926606","36.5825688073394","1.55963302752294","0","37.0642201834862","0","0","9.4954128440367","15.2981651376147","142566"
"06037800328","06","California","33","2","2","1306","31.010719754977","68.989280245023","0","0","15.7733537519142","0","0.765696784073507","3.13935681470138","11.3323124042879","173125"
"06037901300","06","California","7","2","2","1840","69.2934782608696","30.7065217391304","1.90217391304348","0","0","0","0","2.5","64.8913043478261","65398"
"06037910401","06","California","8","2","2","5742","76.8547544409613","23.1452455590387","8.65552072448624","0","5.53814002089864","0","1.02751654475792","5.64263322884013","55.9909439219784","87580"
"06037920106","06","California","1","2","2","3716","74.8116254036598","25.1883745963402","4.14424111948332","0","3.68675995694295","0","0.69967707212056","3.4983853606028","62.7825618945102","137813"
"06037920200","06","California","6","2","2","3604","88.4850166481687","11.5149833518313","21.3928967813541","0","1.80355160932297","0.194228634850166","1.08213096559378","2.02552719200888","61.9866814650388",""
"06037920326","06","California","21","2","2","6971","57.5814086931574","42.4185913068426","4.73389757567064","0.860708650121934","23.1674078324487","0","1.00416009180892","4.60479127815235","23.2104432649548","133417"
"06037980001","06","California","17000","2","2","0","","","","","","","","","",""
"06037980004","06","California","10","2","2","0","","","","","","","","","",""
"06037980010","06","California","3","2","2","182","97.2527472527473","2.74725274725275","0","0","51.0989010989011","0.549450549450549","0","2.1978021978022","43.4065934065934",""
"06037980013","06","California","4","2","2","0","","","","","","","","","",""
"06037980015","06","California","340","2","2","1392","81.9683908045977","18.0316091954023","25","0","13.9367816091954","0","2.1551724137931","6.89655172413793","33.9798850574713","79375"
"06037980018","06","California","7890","2","2","0","","","","","","","","","",""
"06037980028","06","California","10636.6666666667","6","6","0","","","","","","","","","",""
"06039000203","06","California","1","2","2","1582","57.7117572692794","42.2882427307206","1.64348925410872","0.505689001264222","1.07458912768647","0.0632111251580278","2.02275600505689","2.08596713021492","50.3160556257901","73906"
"06043000101","06","California","450","2","2","3122","26.3292761050609","73.6707238949391","1.85778347213325","2.59449071108264","2.49839846252402","0","0.832799487508008","6.50224215246637","12.0435618193466","60536"
"06045010700","06","California","38","2","2","6775","43.4538745387454","56.5461254612546","0.309963099630996","4.48708487084871","3.36531365313653","0","0.339483394833948","5.90405904059041","29.0479704797048","70781"
"06047000503","06","California","42300","2","2","2489","69.9477701888309","30.0522298111691","18.1197267979108","3.25431900361591","2.00883889112093","0","1.92848533547609","1.56689433507433","43.0695058256328","87656"
"06047002100","06","California","20","2","2","4059","75.8068489775807","24.1931510224193","0","0","3.69549150036955","0","0.5420054200542","3.17812269031781","68.3912293668391","83214"
"06047002500","06","California","5","2","2","2470","55.3441295546559","44.6558704453441","0.769230769230769","0","5.62753036437247","0","0.526315789473684","3.19838056680162","45.2226720647773","107900"
"06049000400","06","California","72","2","4","1096","21.8978102189781","78.1021897810219","0.638686131386861","7.48175182481752","1.0036496350365","0","0","3.1021897810219","9.67153284671533","53493"
"06051000101","06","California","27","2","4","3532","24.9150622876557","75.0849377123443","0","2.74631936579841","0","0","0.962627406568516","3.65232163080408","17.5537938844847","112721"
"06051000102","06","California","3.5","4","4","2402","40.7577019150708","59.2422980849292","0.374687760199833","1.1240632805995","1.79017485428809","0","0.0416319733555371","2.12323064113239","35.3039134054954","105091"
"06053013300","06","California","12700","2","2","5751","55.3295079116675","44.6704920883325","0.434707007476961","0","5.39036689271431","0","4.01669274908711","2.88645452964702","42.6012867327421","97188"
"06053014108","06","California","8","2","2","5200","56.9615384615385","43.0384615384615","3.36538461538462","0","16.4807692307692","0","0.326923076923077","9.19230769230769","27.5961538461538","79931"
"06053014302","06","California","1400","2","2","4200","65.6904761904762","34.3095238095238","8.30952380952381","0","12.2857142857143","2.92857142857143","0.547619047619048","6.02380952380952","35.5952380952381","89420"
"06053014800","06","California","2","2","2","5831","93.0543646029841","6.94563539701595","0.531641227919739","0","0.377293774652718","0","0","1.08043217286915","91.0649974275425","98897"
"06055201005","06","California","3","2","2","2650","71.9622641509434","28.0377358490566","3.16981132075472","0.30188679245283","22.188679245283","0","0","4.90566037735849","41.3962264150943","103056"
"06055201900","06","California","63","2","2","1457","48.0439258750858","51.9560741249142","3.01990391214825","0.205902539464653","1.23541523678792","0","0","6.1770761839396","37.4056280027454","134375"
"06059042203","06","California","5","2","2","9842","29.6382849014428","70.3617150985572","0.863645600487706","0.711237553342816","4.46047551310709","0","1.90002032107295","4.10485673643568","17.5980491769965","137607"
"06059042205","06","California","1","2","2","5336","38.8305847076462","61.1694152923538","0","0","2.60494752623688","0","0","5.13493253373313","31.0907046476762","138824"
"06059062610","06","California","13800","2","2","13289","49.7027616825946","50.2972383174054","3.31853412596885","0","30.709609451426","0.301000827752276","1.97155542177741","4.83858830611784","8.56347354955226","114347"
"06059063500","06","California","170","2","2","5499","21.6402982360429","78.3597017639571","0","0","1.36388434260775","0","0","2.89143480632842","17.3849790871067","143381"
"06059074403","06","California","61","2","2","4987","99.7192701022659","0.280729897734109","0.701824744335272","0","2.68698616402647","0","0","0","96.3304591939041","70096"
"06059086402","06","California","32","2","2","6193","79.0408525754885","20.9591474245115","2.1637332472146","0","12.3042144356532","0","0","2.84191829484902","61.7309865977717","133594"
"06059099502","06","California","3","2","2","584","52.2260273972603","47.7739726027397","14.2123287671233","0","5.82191780821918","0","0","6.50684931506849","25.6849315068493","96364"
"06059110015","06","California","118","2","2","3468","38.9561707035755","61.0438292964245","1.3840830449827","2.04728950403691","11.8223760092272","0","0","1.87427912341407","21.8281430219146","129840"
"06061022014","06","California","44","2","2","1691","8.92962743938498","91.070372560615","2.48373743347132","0","0","0","0","1.12359550561798","5.32229450029568","141250"
"06063000100","06","California","5","2","2","6089","17.7040564953194","82.2959435046806","2.69338150763672","1.37953686976515","0.21349975365413","0.0164230579733946","0","7.42322220397438","5.97799310231565","83774"
"06063000300","06","California","66","2","2","5439","29.8032726604155","70.1967273395845","0","2.92333149476007","2.51884537598823","0","0","5.38701967273396","18.9740761169333","54420"
"06063000502","06","California","130","2","2","2034","14.2576204523107","85.7423795476893","0","2.06489675516224","0.147492625368732","0","0.835791543756146","4.22812192723697","6.98131760078663","95045"
"06065041415","06","California","200","2","2","4210","74.0380047505938","25.9619952494062","1.42517814726841","0","26.270783847981","0","0.190023752969121","1.09263657957245","45.0593824228028","144767"
"06065042007","06","California","610","2","2","7605","55.9500328731098","44.0499671268902","5.65417488494412","0","6.92965154503616","0","9.62524654832347","3.69493754109139","30.0460223537147","144219"
"06065042401","06","California","25","2","2","2056","63.1322957198444","36.8677042801556","0.486381322957198","0.389105058365759","2.77237354085603","0","0.14591439688716","3.55058365758755","55.7879377431907","107500"
"06065044403","06","California","140","2","2","3799","60.0947617794156","39.9052382205844","0.184259015530403","0.816004211634641","7.87049223479863","0","1.05290866017373","2.94814424848644","47.2229534087918","77768"
"06065044520","06","California","14","2","2","1099","50.5914467697907","49.4085532302093","1.63785259326661","0.181983621474067","1.00090991810737","0","0","2.27479526842584","45.4959053685168","84750"
"06065045618","06","California","6300","2","2","1747","98.7979393245564","1.20206067544362","0.114481969089868","0.801373783629078","2.23239839725243","0","0","1.43102461362335","94.2186605609617","34777"
"06065046900","06","California","1","4","4","1804","70.1773835920177","29.8226164079823","5.48780487804878","0","0.277161862527716","0","0","2.93791574279379","61.4745011086475","52311"
"06065941200","06","California","593","2","2","2967","27.7384563532187","72.2615436467813","2.93225480283114","0.70778564206269","5.59487698011459","0.741489720256151","0.47185709470846","4.41523424334344","12.8749578699023","97250"
"06067001601","06","California","9200","2","2","3199","33.7605501719287","66.2394498280713","1.56298843388559","0","5.15786183182244","0","0","5.37668021256643","21.6630196936543","121250"
"06067001900","06","California","9","2","2","3316","38.6308805790109","61.3691194209891","3.49819059107358","0","6.96622436670688","0.211097708082027","1.17611580217129","3.07599517490953","23.7032569360676","90217"
"06067005205","06","California","3","2","2","3716","62.3519913885899","37.6480086114101","23.6813778256189","0","4.97847147470398","0.565123789020452","0","5.43595263724435","27.6910656620022","56645"
"06067005301","06","California","72","4","4","2332","51.9296740994854","48.0703259005146","12.9073756432247","0","9.51972555746141","0","0.257289879931389","12.3070325900515","16.9382504288165","94861"
"06067007101","06","California","9200","2","2","1355","65.6826568265683","34.3173431734317","2.28782287822878","0","39.3357933579336","5.53505535055351","0","3.24723247232472","15.2767527675277","192938"
"06067008602","06","California","87","2","2","1832","33.1331877729258","66.8668122270742","0","0","10.4257641921397","0","0","6.55021834061135","16.1572052401747","93038"
"06067008803","06","California","11","2","4","2203","32.7734906945075","67.2265093054925","12.2560145256468","0","2.72355878347708","0","0","3.67680435769405","14.1171130276895","73250"
"06067009201","06","California","150","2","2","6824","76.3042203985932","23.6957796014068","10.5656506447831","0.0293083235638921","32.9425556858148","4.20574443141852","0","3.47303634232122","25.0879249706917","96382"
"06067009307","06","California","2","2","2","5483","50.2462155754149","49.7537844245851","6.93051249316068","0","15.3200802480394","0","0.218858289257706","8.07951851176363","19.6972460331935","120266"
"06067009900","06","California","66","2","2","3808","63.4453781512605","36.5546218487395","0","0","4.28046218487395","0","0.446428571428571","2.4422268907563","56.2762605042017","76034"
"06069000802","06","California","110","2","2","4201","47.9885741490121","52.0114258509879","0.357057843370626","0.0238038562247084","1.57105451083075","2.21375862889788","0.119019281123542","4.92739823851464","38.77648179005","143875"
"06071001600","06","California","48","2","2","4773","97.7582233396187","2.24177666038131","0.900900900900901","0","0.43997485857951","0","0","1.44563167818982","94.9717159019485","65188"
"06071009134","06","California","5","2","2","871","81.8599311136625","18.1400688863375","1.26291618828932","0","0.459242250287026","0.229621125143513","0","0","79.9081515499426","61250"
"06071010024","06","California","1","2","2","5337","61.8887015177066","38.1112984822934","6.44556867153832","0.131159827618512","0.224845418774592","0","0","5.05902192242833","50.0281056773468","83846"
"06071010300","06","California","2","2","2","2854","47.0567624386826","52.9432375613174","0.315346881569727","0","6.41205325858444","0","0","5.18570427470217","35.1436580238262","64348"
"06071010424","06","California","20","2","2","1579","33.8822039265358","66.1177960734642","6.64977834072198","6.90310322989234","2.21659278024066","0","1.70994300189994","3.73654211526282","12.666244458518","58835"
"06071010435","06","California","16","2","2","1912","32.2175732217573","67.7824267782427","3.24267782426778","3.24267782426778","0","0.47071129707113","0","6.11924686192469","19.1422594142259","45313"
"06071011300","06","California","17","2","2","1123","25.2894033837934","74.7105966162066","0","0","3.38379341050757","0","1.8699910952805","10.5966162065895","9.43900267141585","81833"
"06071011900","06","California","4","2","2","2371","36.3981442429355","63.6018557570645","0.337410375369043","1.47617039223956","0.759173344580346","0","1.22311261071278","3.03669337832138","29.5655841417124","66250"
"06071012101","06","California","160","2","2","7399","47.5739964860116","52.4260035139884","12.3935666982025","0","6.4873631571834","0","1.41911069063387","5.28449790512231","21.9894580348696","77143"
"06071012105","06","California","190","2","2","2760","43.2608695652174","56.7391304347826","2.7536231884058","0.543478260869565","3.3695652173913","0","0.217391304347826","2.7536231884058","33.6231884057971","74453"
"06071980100","06","California","22","2","2","3","100","0","66.6666666666667","0","0","0","0","0","33.3333333333333",""
