Site code	Site type	Sample date (yyyymmdd)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
MA_15_Priv	Private supply	20211110	<19.0	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<20.2	<1.9	<7.8	<5.1	<7.7	<10.1	<20.2	<4.5	<10.1	<10.1	<19.5	<10.1	<9.6	<20.2	<34.9	<7.5	<10.1	<19.4	8.1	<19.8	<12.8	<5.1	<9.5	<10.1	<10.1	<10.1
MA_16_Pub	Public supply	20211220	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
MA_16_Pub dup	Public supply	20211220	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
MA_2_Priv	Private supply	20210719	<47.6	<18.9	<48	<19.4	<47.1	<101	<101	<10.1	<10.1	<1.9	<15.7	<20.2	<38.4	<50.5	<20.2	<9.0	<10.1	<10.1	<9.8	<10.1	<9.6	<5.1	<34.9	<15	<10.1	<19.4	<2.0	<39.6	<14.8	<10.1	<9.5	<10.1	<10.1	<20.2
MA_3_Pub	Public supply	20210530	<47.6	<9.5	<19.2	<9.7	<47.1	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<20.2	<15.4	<20.2	<10.1	<17.9	<5.1	<20.2	<19.5	<5.1	<9.6	<20.2	<17.5	<7.5	<10.1	<19.4	1.9	<39.6	<14.8	<5.1	<4.8	<10.1	<10.1	<10.1
MA_4_Pub	Public supply	20210719	<47.6	<18.9	<48	<19.4	<47.1	<101	<101	<10.1	<10.1	<1.9	<15.7	<20.2	<38.4	<50.5	<20.2	<9.0	<10.1	<10.1	<9.8	<10.1	<9.6	<5.1	<34.9	<15	<10.1	<19.4	<2.0	<39.6	<14.8	<10.1	<9.5	<10.1	<10.1	<20.2
MD_1_Priv	Private supply	20210830	<19.0	<4.7	<9.6	<19.4	<18.8	<50.5	<20.2	<5.1	<10.1	<1.9	<7.8	<5.1	<7.7	<20.2	<10.1	<4.5	<10.1	<10.1	<9.8	<20.2	<4.8	<10.1	<17.5	<3.7	<5.1	<9.7	<3.1	<39.6	<14.8	<3.1	<9.5	<10.1	<10.1	<10.1
MD_10_Pub	Public supply	20211019	<9.5	<1.9	<9.6	<4.9	<18.9	<50.5	<50.5	<5.1	<5.1	<1.9	<3.9	<10.1	<7.7	<20.2	<5.1	3.4	<2.0	<5.1	<4.9	<5.1	<4.8	<10.1	<8.8	1.2	<2.0	<9.7	<2.2	<39.6	<7.4	<5.1	<4.8	<5.1	<5.1	<2.0
MD_3_Pub	Public supply	20210803	<47.6	<9.5	<19.2	<9.7	<47.1	<50.5	<101	<20.2	<10.1	<1.9	<15.7	<20.2	<15.4	<20.2	<22.1	<9.0	<10.1	<10.1	<19.5	<20.2	<9.6	<20.2	<17.5	<7.5	<5.1	<19.4	<5.1	<39.6	<14.8	<10.1	<9.5	<5.1	<10.1	<10.1
MD_4_Pub	Public supply	20210803	<47.6	<9.5	<19.2	<9.7	<47.1	<50.5	<101	<20.2	<10.1	<1.9	<15.7	<20.2	<15.4	<20.2	<20.2	<9.0	<10.1	<10.1	<19.5	<20.2	<9.6	<20.2	<17.5	<7.5	<5.1	<19.4	<5.1	<39.6	<14.8	<10.1	<9.5	<5.1	<10.1	<10.1
MD_5_Priv	Private supply	20211012	<9.5	<1.9	<9.6	<4.9	<18.9	<50.5	<50.5	<5.1	<5.1	<1.9	<3.9	<10.1	<7.7	<20.2	<5.1	<4.5	<2.0	<5.1	<4.9	<5.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<5.1	<4.8	<5.1	<5.1	<2.0
MD_6_Pub	Public supply	20210914	<9.5	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<20.2	<5.1	<1.9	<7.8	<10.1	<15.4	<20.2	<20.2	2.3	<2.0	<5.1	<9.8	<5.1	<9.6	<5.1	<17.5	<1.5	<2.0	<4.9	E2.7	<19.8	<7.4	<2.2	<4.8	<5.1	<10.1	<5.1
MD_7_Priv	Private supply	20210929	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<7.8	<10.1	<7.7	<10.1	<5.1	<4.5	<5.1	<10.1	<4.9	<5.1	<4.8	<10.1	<17.5	<1.5	<2.0	<9.7	<2.0	<19.8	<7.4	<5.1	<4.8	<5.1	<10.1	<5.1
MD_8_Priv	Private supply	20210921	<9.5	<4.7	<19.2	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<5.1	<7.7	<5.1	<10.1	<1.8	<5.1	<5.1	<4.9	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<4.8	<5.1	<10.1	<2.0
