"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"57","06081601000","06","California","081","601000","Mussel Rock Landfill","Landfill","Groundwater","2019","-122.494458","37.666592","2","2","8","8","7500","6480","86.4","13.6","2.72","0","56.7866666666667","0.946666666666667","5.18666666666667","4.21333333333333","16.5466666666667","126406"
"58","06065046900","06","California","065","046900","Desert Center Sanitary","Landfill","Groundwater","2019","-115.409649","33.777196","1",,"8","8","1804","1266","70.1773835920177","29.8226164079823","5.48780487804878","0","0.277161862527716","0","0","2.93791574279379","61.4745011086475","52311"
"59","06025011901","06","California","025","011901","Calexico Class III Waste Management Facility","Landfill","Groundwater","2019","-115.543588","32.678688","2",,"9","9","1935","1892","97.7777777777778","2.22222222222222","0.41343669250646","0","3.15245478036176","0","0","0","94.2118863049096","79798"
"60","06071010024","06","California","071","010024","Hesperia Class III Landfill","Landfill","Groundwater","2019","-117.350363","34.344608","1","1","10","10","5337","3303","61.8887015177066","38.1112984822934","6.44556867153832","0.131159827618512","0.224845418774592","0","0","5.05902192242833","50.0281056773468","83846"
"61","06039000203","06","California","039","000203","Fairmead Solid Waste Disposal Service","Landfill","Groundwater","2019","-120.197154","37.063652","1",,"10","10","1582","913","57.7117572692794","42.2882427307206","1.64348925410872","0.505689001264222","1.07458912768647","0.0632111251580278","2.02275600505689","2.08596713021492","50.3160556257901","73906"
"62","06025012400","06","California","025","012400","Palo Verde III Waste Management Facility","Landfill","Groundwater","2019","-114.748972","33.391134","3",,"10","10","835","300","35.9281437125749","64.0718562874251","23.2335329341317","0","0","0","1.67664670658683","4.4311377245509","6.58682634730539","25978"
"63","06029006004","06","California","029","006004","Tehachapi Class III Landfill","Landfill","Groundwater","2019","-118.340693","35.122717",,,"10","10","1440","315","21.875","78.125","3.47222222222222","1.18055555555556","0.277777777777778","0","0.347222222222222","5.41666666666667","11.1805555555556","62317"
"64","06053014800","06","California","053","014800","Johnson Canyon Class III Landfill","Landfill","Groundwater","2019","-121.409232","36.531875","2","1","11","11","5831","5426","93.0543646029841","6.94563539701595","0.531641227919739","0","0.377293774652718","0","0","1.08043217286915","91.0649974275425","98897"
"65","06031001200","06","California","031","001200","Hanford Municipal Solid Waste Disposal Service","Landfill","Groundwater","2019","-119.596927","36.302737","1",,"11","11","2444","1215","49.7135842880524","50.2864157119476","2.65957446808511","1.02291325695581","0","0","0.16366612111293","4.95090016366612","40.9165302782324","83250"
"66","06063000100","06","California","063","000100","Gopher Hill Class III Landfill","Landfill","Groundwater","2019","-121.031056","39.953964","5","2","16","16","6089","1078","17.7040564953194","82.2959435046806","2.69338150763672","1.37953686976515","0.21349975365413","0.0164230579733946","0","7.42322220397438","5.97799310231565","83774"
"67","06025010101","06","California","025","010101","Niland III Waste Management Facility","Landfill","Groundwater","2019","-115.49192","33.271298",,"1","16","16","3155","2903","92.0126782884311","7.98732171156894","17.7496038034865","1.45800316957211","2.47226624405705","0.316957210776545","0.412044374009509","1.71156893819334","67.892234548336",
