"tract_geoid","state_fips","compound","average_concentration","observation_count","station_count"
"06083980000","06","REPORTED_PFAS_LEVEL","8770829","2","2"
"06059099502","06","PFOA","3","2","2"
"06059099502","06","PFOS","5","2","2"
"06059099502","06","REPORTED_PFAS_LEVEL","5","2","2"
"06037301601","06","PFOA","3","2","2"
"06037301601","06","PFOS","3","2","2"
"06037301601","06","REPORTED_PFAS_LEVEL","6","2","2"
"06073017112","06","PFOA","7600","2","2"
"06073017112","06","PFOS","3300","2","2"
"06073017112","06","TOTAL_PFAS","37950","2","2"
"06073017112","06","REPORTED_PFAS_LEVEL","37950","2","2"
"06013327001","06","PFOA","3920","2","2"
"06013327001","06","TOTAL_PFAS","91100","2","2"
"06013327001","06","REPORTED_PFAS_LEVEL","91100","2","2"
"06059062610","06","PFOA","13800","2","2"
"06059062610","06","PFOS","1830","2","2"
"06059062610","06","TOTAL_PFAS","145121","2","2"
"06059062610","06","REPORTED_PFAS_LEVEL","145121","2","2"
"06013358000","06","PFOA","2800","2","2"
"06013358000","06","PFOS","48000","2","2"
"06013358000","06","TOTAL_PFAS","229440","2","2"
"06013358000","06","REPORTED_PFAS_LEVEL","229440","2","2"
"06001409000","06","PFOA","4100","2","2"
"06001409000","06","PFOS","170000","2","2"
"06001409000","06","TOTAL_PFAS","283685","2","2"
"06001409000","06","REPORTED_PFAS_LEVEL","283685","2","2"
"06067007101","06","PFOA","9200","2","2"
"06067007101","06","PFOS","72000","2","2"
"06067007101","06","TOTAL_PFAS","320400","2","2"
"06067007101","06","REPORTED_PFAS_LEVEL","320400","2","2"
"06067001601","06","PFOA","9200","2","2"
"06067001601","06","PFOS","72000","2","2"
"06067001601","06","TOTAL_PFAS","320400","2","2"
"06067001601","06","REPORTED_PFAS_LEVEL","320400","2","2"
"06073006200","06","PFOA","59700","2","2"
"06073006200","06","PFOS","5960","2","2"
"06073006200","06","TOTAL_PFAS","426304","2","2"
"06073006200","06","REPORTED_PFAS_LEVEL","426304","2","2"
"06037980001","06","PFOA","17000","2","2"
"06037980001","06","TOTAL_PFAS","669800","2","2"
"06037980001","06","REPORTED_PFAS_LEVEL","669800","2","2"
"06065045618","06","PFOA","6300","2","2"
"06065045618","06","PFOS","510000","2","2"
"06065045618","06","TOTAL_PFAS","23058440","2","2"
"06065045618","06","REPORTED_PFAS_LEVEL","23058440","2","2"
"06049000300","06","TOTAL_PFAS","1","2","2"
"06049000300","06","REPORTED_PFAS_LEVEL","1","2","2"
"06049000400","06","PFOA","72","2","4"
"06049000400","06","PFOS","6","2","4"
"06049000400","06","TOTAL_PFAS","151.5","4","4"
"06049000400","06","REPORTED_PFAS_LEVEL","151.5","4","4"
"06051000101","06","PFOA","27","2","4"
"06051000101","06","PFOS","16","2","4"
"06051000101","06","TOTAL_PFAS","1177","4","4"
"06051000101","06","REPORTED_PFAS_LEVEL","1177","4","4"
"06077004704","06","TOTAL_PFAS","7","4","4"
"06077004704","06","REPORTED_PFAS_LEVEL","7","4","4"
"06111004715","06","PFOA","770","2","4"
"06111004715","06","PFOS","12000.5","4","4"
"06111004715","06","TOTAL_PFAS","12532","4","4"
"06111004715","06","REPORTED_PFAS_LEVEL","12532","4","4"
"06019003900","06","TOTAL_PFAS","4","2","2"
"06019003900","06","REPORTED_PFAS_LEVEL","4","2","2"
"06111000304","06","PFOS","8","2","2"
"06111000304","06","TOTAL_PFAS","11","2","2"
