"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001405000","06","001","405000","3566","350","3566","1970","313","0","436","0","18","367","462","1596","44.7560291643298","55.2439708356702","8.77734155916994","12.2265844083006","12.9556926528323","136406","20632","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405100","06","001","405100","4476","407","4476","2966","181","0","551","5","14","448","311","1510","33.7354781054513","66.2645218945487","4.0437890974084","12.3100983020554","6.94816800714924","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405200","06","001","405200","5254","945","5254","1549","593","0","1738","9","162","539","664","3705","70.5177007993909","29.4822992006091","11.2866387514275","33.0795584316711","12.6379901027788","131563","22055","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405301","06","001","405301","2979","558","2979","1215","796","0","363","0","0","327","278","1764","59.214501510574","40.785498489426","26.720375965089","12.1852970795569","9.33199060087278","110913","18350","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405302","06","001","405302","2501","327","2501","812","428","23","729","22","56","145","286","1689","67.5329868052779","32.4670131947221","17.1131547381048","29.1483406637345","11.4354258296681","61806","13070","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405401","06","001","405401","3796","500","3796","626","545","5","1315","53","23","309","920","3170","83.508956796628","16.491043203372","14.3572181243414","34.6417281348788","24.2360379346681","76071","13875","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405402","06","001","405402","3212","613","3212","424","315","12","1393","3","57","40","968","2788","86.799501867995","13.200498132005","9.80697384806974","43.3686176836862","30.1369863013699","38552","21429","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405500","06","001","405500","3674","518","3674","818","848","0","1246","26","52","123","561","2856","77.7354382144801","22.2645617855199","23.0811105062602","33.9139902014154","15.2694610778443","92837","17109","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405600","06","001","405600","3277","480","3277","864","358","0","1086","0","11","191","767","2413","73.6344217271895","26.3655782728105","10.924626182484","33.1400671345743","23.405553860238","95455","12183","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001405700","06","001","405700","3927","672","3927","487","846","0","885","0","24","213","1472","3440","87.5986758339699","12.40132416603","21.5431627196333","22.5362872421696","37.4840845429081","89500","28276","0",,"0","0","0","0","0",,,,,"0","PFOA"
